"departamento","c_digo_divipola_departamento","municipio","c_digo_divipola_municipio","programa","a_o_de_asignaci_n","estado_de_postulaci_n","hogares","valor_asignado"
"SUCRE","70","SAN BENITO ABAD","70678","Casa Digna Vida Digna","2025","Asignados","5","78000000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2022","Asignados","15","300000000"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2017","Asignados","19","280332460"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2019","Asignados","7","157342040"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Ahorro Programado Contractual","2012","Apto con subsidio vencido","348","3637423306"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2023","Apto con subsidio vencido","1","23200000"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2024","Asignados","52","1534000000"
"RISARALDA","66","DOSQUEBRADAS","66170","MI CASA YA","2020","Asignados","7","140448480"
"ATLÁNTICO","8","SOLEDAD","8758","Casa Digna Vida Digna","2021","Asignados","22","218169395"
"QUINDÍO","63","MONTENEGRO","63470","MI CASA YA","2019","Asignados","9","215310160"
"MAGDALENA","47","FUNDACIÓN","47288","Casa Digna Vida Digna","2024","Asignados","7","109200000"
"CÓRDOBA","23","SAHAGÚN","23660","MI CASA YA","2024","Asignados","5","182000000"
"ANTIOQUIA","5","LA ESTRELLA","5380","MI CASA YA","2019","Asignados","2","41405800"
"CUNDINAMARCA","25","SUSA","25779","Bolsa Esfuerzo Territorial","2005","Apto con subsidio vencido","3","22554000"
"SANTANDER","68","GIRÓN","68307","MI CASA YA","2018","Asignados","4","70311780"
